IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
12305;Matthias;Kyburz;SUI;1;6984;5;1396.8
10849;Daniel;Hubmann;SUI;2;6954;5;1390.8
13592;Yannick;Michiels;BEL;3;6912;5;1382.4
12187;Vojtech;Kral;CZE;4;6861;5;1372.2
15387;Martin;Regborn;SWE;5;6825;5;1365.0
12555;Jonas;Leandersson;SWE;6;6820;5;1364.0
17348;Frederic;Tranchand;FRA;7;6749;5;1349.8
15525;Tim;Robertson;NZL;8;6736;5;1347.2
16905;Emil;Svensk;SWE;9;6710;5;1342.0
13053;Jerker;Lysell;SWE;10;6699;5;1339.8
10851;Martin;Hubmann;SUI;11;6682;5;1336.4
7562;Gustav;Bergman;SWE;12;6639;5;1327.8
11299;Kristian;Jones;GBR;13;6634;5;1326.8
9910;Ruslan;Glibov;UKR;14;6614;5;1322.8
10810;Florian;Howald;SUI;15;6568;5;1313.6
13326;Antonio;Martinez Perez;ESP;16;6556;5;1311.2
18700;Aleksi;Niemi;FIN;17;6534;5;1306.8
14322;Milos;Nykodym;CZE;18;6512;5;1302.4
11163;Hakon;Jarvis Westergard;NOR;19;6503;5;1300.6
15397;Andreu;Blanes;ESP;19;6503;5;1300.6
12304;Andreas;Kyburz;SUI;21;6484;5;1296.8
15086;Artem;Popov;RUS;22;6463;5;1292.6
13003;Olav;Lundanes;NOR;23;6453;5;1290.6
13549;Robert;Merl;AUT;24;6452;5;1290.4
10688;Peter;Hodkinson;GBR;25;6429;5;1285.8
16491;Chris;Smithard;GBR;26;6420;5;1284.0
18893;Jonas;Egger;SUI;27;6415;5;1283.0
14760;Trond Einar;Moen Pedersli;NOR;28;6410;5;1282.0
7403;Lucas;Basset;FRA;29;6391;5;1278.2
22688;Jakob;Edsen;DEN;30;6382;5;1276.4
18660;Oystein Kvaal;Osterbo;NOR;31;6379;5;1275.8
23033;Joey;Hadorn;SUI;31;6379;5;1275.8
16697;Gaute;Hallan Steiwer;NOR;33;6377;5;1275.4
10627;Fabian;Hertner;SUI;34;6371;5;1274.2
10248;Jonas Vytautas;Gvildys;LTU;35;6341;5;1268.2
18966;Riccardo;Scalet;ITA;36;6338;5;1267.6
12487;Tue;Lassen;DEN;37;6329;5;1265.8
11784;Kenny;Kivikas;EST;38;6325;5;1265.0
14642;Piotr;Parfianowicz;POL;39;6313;5;1262.6
14509;Jon Aukrust;Osmoen;NOR;40;6296;5;1259.2
11718;Andrey;Khramov;RUS;41;6294;5;1258.8
15991;Florian;Schneider;SUI;42;6279;5;1255.8
19846;Olli;Ojanaho;FIN;43;6274;5;1254.8
14704;Arturs;Paulins;LAT;44;6256;5;1251.2
11671;Gernot;Ymsen;AUT;45;6250;5;1250.0
14896;Jan;Petrzela;CZE;46;6249;5;1249.8
13502;Christoph;Meier;SUI;47;6246;5;1249.2
8831;Magnus;Dewett;DEN;48;6244;5;1248.8
18892;Thomas;Curiger;SUI;49;6216;5;1243.2
20166;Marek;Minar;CZE;50;6214;5;1242.8
15472;Albin;Ridefelt;SWE;51;6200;5;1240.0
18506;Rudolfs;Zernis;LAT;52;6190;5;1238.0
18826;Algirdas;Bartkevicius;LTU;53;6167;5;1233.4
7466;Max Peter;Bejmer;SWE;54;6165;5;1233.0
13255;Eduardo;Gil Marcos;ESP;55;6157;5;1231.4
15729;Andreas;Rueedlinger;SUI;56;6141;5;1228.2
11329;Andris;Jubelis;LAT;57;6134;5;1226.8
13474;Alasdair;McLeod;GBR;58;6125;5;1225.0
7760;Andreas Hougaard;Boesen;DEN;59;6120;5;1224.0
12511;Jesse;Laukkarinen;FIN;60;6118;5;1223.6
16782;Ralph;Street;GBR;61;6114;5;1222.8
8136;Eric;Borjeskog;SWE;62;6103;5;1220.6
23855;Kasper;Fosser;NOR;63;6100;5;1220.0
15405;Matthias;Reiner;AUT;64;6099;5;1219.8
15668;Johan;Runesson;SWE;65;6086;5;1217.2
16342;Otto;Simosas;FIN;65;6086;5;1217.2
14725;Bartosz;Pawlak;POL;67;6082;5;1216.4
16283;Timo;Sild;EST;68;6052;5;1210.4
19918;Adrien;Delenne;FRA;69;6048;5;1209.6
22101;Elias;Kuukka;FIN;70;6046;5;1209.2
11767;Miika;Kirmula;FIN;71;6029;5;1205.8
16365;Ivan;Sirakov;BUL;72;6012;5;1202.4
8188;Loic;Capbern;FRA;73;5995;5;1199.0
13483;Henry;McNulty;AUS;74;5993;5;1198.6
10663;Joni;Hirvikallio;FIN;75;5955;5;1191.0
19993;Topias;Ahola;FIN;76;5951;5;1190.2
12307;Severi;Kymalainen;FIN;77;5947;5;1189.4
14003;Dmitrii;Nakonechnyi;RUS;78;5934;5;1186.8
14406;Michal;Olejnik;POL;79;5929;5;1185.8
6827;Emil;Ahlbeck;NOR;80;5927;5;1185.4
7860;Marten B;Bostrom;FIN;81;5922;5;1184.4
7724;Tristan;Bloemen;BEL;82;5914;5;1182.8
8598;Jonathan;Crickmore;GBR;83;5906;5;1181.2
6891;Vilius;Aleliunas;LTU;84;5904;5;1180.8
8581;Vincent;Coupat;FRA;84;5904;5;1180.8
10166;Matthias;Groell;AUT;86;5882;5;1176.4
11953;Damian;Konotopetz;CAN;87;5880;5;1176.0
20176;Maxime;Rauturier;FRA;88;5852;5;1170.4
15056;Dmitrii;Poliakov;RUS;89;5849;5;1169.8
18895;Remo;Ruch;SUI;90;5845;5;1169.0
19153;Mattia;Debertolis;ITA;91;5817;5;1163.4
25347;Vojtech;Sykora;CZE;92;5813;5;1162.6
19046;Tomas;Kubelka;CZE;93;5808;5;1161.6
20163;Arnaud;Perrin;FRA;94;5807;5;1161.4
12778;William;Lind;SWE;95;5799;5;1159.8
7134;Philipp;von Arx;SUI;96;5793;5;1158.6
24205;Otto;Kaario;FIN;97;5773;5;1154.6
18890;Tobia;Pezzati;SUI;98;5753;5;1150.6
22452;Tommy;Hayes;NZL;99;5749;5;1149.8
18900;Riccardo;Rancan;SUI;100;5741;5;1148.2
11402;Ahmet;Kacmaz;TUR;101;5723;5;1144.6
10587;Tomas;Hendrickx;BEL;102;5721;5;1144.2
7286;Aron;Bako;HUN;103;5703;5;1140.6
20655;Quentin;Rauturier;FRA;104;5697;5;1139.4
9942;Marvin;Goericke;GER;105;5695;5;1139.0
10551;Kristo;Heinmann;EST;106;5690;5;1138.0
16618;Felix;Spaeth;GER;107;5667;5;1133.4
10320;Daniel;Hajek;CZE;108;5660;5;1132.0
11786;Andris;Kivlenieks;LAT;109;5656;5;1131.2
10922;Sami;Hamalainen;FIN;110;5654;5;1130.8
17414;Dmitry;Tsvetkov;RUS;111;5649;5;1129.8
17146;Alessio;Tenani;ITA;112;5648;5;1129.6
12195;Pavel;Kubat;CZE;113;5646;5;1129.2
13968;Elias Thorsdal;Molnvik;NOR;114;5645;5;1129.0
8351;Alexander;Chepelin;GBR;115;5630;5;1126.0
21541;Paul;Sirum;NOR;116;5625;5;1125.0
19705;Krzysztof;Wolowczyk;POL;117;5615;5;1123.0
20111;Levente;Tugyi;HUN;118;5607;5;1121.4
8458;Roman;Ciobanu;ROU;119;5603;5;1120.6
22099;Arto;Talvinen;FIN;120;5589;5;1117.8
18899;Noah;Zbinden;SUI;121;5585;5;1117.0
23039;Simon;Navratil;CZE;122;5572;5;1114.4
24672;Jakub;Glonek;CZE;123;5569;5;1113.8
14853;Mathias;Peter;AUT;124;5568;5;1113.6
9611;Karl;Fremstad;NOR;125;5549;5;1109.8
24217;Akseli;Ruohola;FIN;126;5545;5;1109.0
25685;Einar;Melsom;NOR;127;5512;5;1102.4
7137;Sven;Aschwanden;SUI;128;5505;5;1101.0
25227;Dag;Blandkjenn;NOR;129;5497;5;1099.4
18708;Terence;Risse;SUI;130;5493;5;1098.6
19296;Haavard;Haga;NOR;131;5482;5;1096.4
9766;William;Gardner;GBR;132;5474;5;1094.8
11240;Per Harald;Lofgren Johansen;NOR;132;5474;5;1094.8
18647;Emil;Oebro;DEN;132;5474;5;1094.8
28597;Tomas;Krivda;CZE;135;5461;5;1092.2
16991;Ats;Sonajalg;EST;136;5458;5;1091.6
14819;Lari;Pernu;FIN;137;5432;5;1086.4
16820;Oskar;Stormer;NOR;138;5431;5;1086.2
10806;Eirik;Kamstrup Hovind;NOR;139;5420;5;1084.0
20696;Loic;Marty;FRA;140;5414;5;1082.8
14008;Brodie;Nankervis;AUS;141;5413;5;1082.6
20182;Nitsan;Yasur;ISR;142;5409;5;1081.8
18891;Sven;Hellmueller;SUI;143;5407;5;1081.4
19423;Samu;Heiska;FIN;144;5400;5;1080.0
8610;Michael;Crone;RSA;145;5392;5;1078.4
17241;Gleb;Tikhonov;RUS;146;5387;5;1077.4
13927;Tomas;Musinsky;SVK;147;5383;5;1076.6
15934;Tommaso;Scalet;ITA;148;5382;5;1076.4
18896;Ueli;Werren;SUI;149;5379;5;1075.8
19854;Luca;Zingg;SUI;150;5374;5;1074.8
20527;Alex;Carcas;GBR;151;5367;5;1073.4
11008;Sebastian;Inderst;ITA;152;5364;5;1072.8
15038;Martin;Poklop;CZE;153;5361;5;1072.2
24481;Aston;Key;AUS;154;5351;5;1070.2
20662;Ricardo;Esteves Ferreira;POR;155;5348;5;1069.6
15512;Sergei;Rjaboshkin;EST;156;5345;5;1069.0
24251;Aleksi;Sorsa;FIN;157;5344;5;1068.8
15207;Christoph;Prunsche;GER;158;5334;5;1066.8
11537;Tuomas;Kari;FIN;159;5333;5;1066.6
13046;Carl Petter;Lyngen;NOR;159;5333;5;1066.6
19442;Marek;Schuster;CZE;161;5331;5;1066.2
21389;Matthew;Fellbaum;GBR;162;5326;5;1065.2
20169;Petr;Horvat;CZE;163;5299;5;1059.8
17528;Simon;Uppill;AUS;164;5283;5;1056.6
21009;Alvaro;Prieto;ESP;165;5275;5;1055.0
25454;Mihaly;Ormay;HUN;166;5260;5;1052.0
16048;Toby;Scott;NZL;167;5248;5;1049.6
8965;Kuba;Dragowski;POL;168;5243;5;1048.6
25115;Anton;Salmenkyla;USA;169;5240;5;1048.0
20167;Ondrej;Semik;CZE;170;5237;5;1047.4
18458;Stepan;Zimmermann;CZE;171;5227;5;1045.4
15180;David;Prochazka;CZE;172;5225;5;1045.0
11471;Matej;Kamenicky;CZE;173;5211;5;1042.2
23018;Kirill;Komarov;RUS;174;5201;5;1040.2
25918;Nick;Gebert;SUI;175;5199;5;1039.8
24811;Marcin;Biederman;POL;176;5177;5;1035.4
19137;Endijs;Titomers;LAT;177;5169;5;1033.8
9068;Moritz;Doellgast;GER;178;5158;5;1031.6
17000;Andreas;Soelberg;NOR;179;5153;5;1030.6
22993;Uldis;Upitis;LAT;180;5152;5;1030.4
22790;Petja;Poyhonen;FIN;181;5145;5;1029.0
8774;Sindre;Oestgulen Deisz;NOR;182;5138;5;1027.6
23022;Cameron;de LIsle;NZL;183;5136;5;1027.2
18925;Corentin;Roux;FRA;184;5122;5;1024.4
26587;Xiyuan;Liang;CHN;185;5119;5;1023.8
