IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
77;Maja;Alm;DEN;1;6983;5;1396.6
65;Tove;Alexandersson;SWE;2;6971;5;1394.2
6494;Judith;Wyder;SUI;3;6791;5;1358.2
4277;Karolin;Ohlsson;SWE;4;6670;5;1334.0
6259;Natalia;Gemperle;RUS;5;6659;5;1331.8
6258;Galina;Vinogradova;RUS;6;6600;5;1320.0
4961;Elena;Roos;SUI;7;6595;5;1319.0
2100;Sabine;Hauswirth;SUI;8;6541;5;1308.2
5654;Lina;Strand;SWE;9;6538;5;1307.6
1168;Anastasia;Denisova;BLR;10;6431;5;1286.2
2678;Ursula;Kadan;AUT;11;6397;5;1279.4
5370;Maija;Sianoja;FIN;12;6387;5;1277.4
5868;Marika;Teini;FIN;13;6386;5;1277.2
1867;Julia;Jakob;SUI;14;6340;5;1268.0
4150;Venla;Harju;FIN;15;6324;5;1264.8
2511;Helena;Bergman;SWE;16;6312;5;1262.4
5930;Anastasia;Rudnaya;RUS;17;6305;5;1261.0
4251;Anna;Narhi;FIN;18;6259;5;1251.8
166;Sari;Anttonen;FIN;19;6255;5;1251.0
19685;Aleksandra;Hornik;POL;20;6228;5;1245.6
3932;Svetlana;Mironova;RUS;21;6206;5;1241.2
4880;Tatyana;Riabkina;RUS;22;6192;5;1238.4
23304;Cecilie Friberg;Klysner;DEN;23;6185;5;1237.0
28127;Tereza;Janosikova;CZE;24;6158;5;1231.6
18903;Martina;Ruch;SUI;25;6141;5;1228.2
396;Andrine;Benjaminsen;NOR;26;6127;5;1225.4
63;Sigrid;Alexandersen;NOR;27;6118;5;1223.6
2549;Sarina;Jenzer;SUI;28;6112;5;1222.4
2486;Silje Ekroll;Jahren;NOR;29;6098;5;1219.6
4233;Kirsi;Nurmi;FIN;29;6098;5;1219.6
2942;Jana;Knapova;CZE;31;6085;5;1217.0
4811;Merja;Rantanen;FIN;32;6062;5;1212.4
6284;Nadiya;Volynska;UKR;33;6034;5;1206.8
332;Isia;Basset;FRA;34;6028;5;1205.6
4312;Alva;Olsson;SWE;35;6024;5;1204.8
23032;Simona;Aebersold;SUI;36;6018;5;1203.6
19926;Anna;Haataja;FIN;37;5994;5;1198.8
499;Ida Marie;Naess Bjoergul;NOR;38;5976;5;1195.2
3349;Alice;Leake;GBR;39;5967;5;1193.4
1592;Lilian;Forsgren;SWE;40;5962;5;1192.4
5861;Catherine;Taylor;GBR;41;5934;5;1186.8
1997;Sara;Hagstrom;SWE;42;5933;5;1186.6
844;Megan;Carter Davies;GBR;43;5927;5;1185.4
6342;Charlotte;Ward;GBR;44;5921;5;1184.2
1865;Sandra;Grosberga;LAT;45;5912;5;1182.4
19063;Anna;Dvorianskaia;RUS;46;5907;5;1181.4
19038;Josefin;Tjernlund;SWE;47;5906;5;1181.2
1963;Sofia;Haajanen;FIN;48;5895;5;1179.0
19884;Virag;Weiler;HUN;49;5876;5;1175.2
2430;Adela;Indrakova;CZE;50;5869;5;1173.8
4916;Laura;Robertson;NZL;51;5866;5;1173.2
19096;Vendula;Horcickova;CZE;52;5852;5;1170.4
4043;Ingjerd;Myhre;NOR;53;5844;5;1168.8
6357;Amanda Falck;Weber;DEN;54;5805;5;1161.0
5208;Nikoline;Ekeberg Schjerve;NOR;55;5799;5;1159.8
4800;Laura;Ramstein;AUT;56;5786;5;1157.2
3061;Denisa;Kosova;CZE;57;5781;5;1156.2
22886;Emma;Bjessmo;SWE;58;5775;5;1155.0
3602;Susen;Loesch;GER;59;5741;5;1148.2
28427;Alexandra;Enlund;FIN;60;5712;5;1142.4
1757;Caroline;Gjotterup;DEN;61;5694;5;1138.8
4227;Irina;Nyberg;RUS;61;5694;5;1138.8
18906;Paula;Gross;SUI;63;5663;5;1132.6
1541;Kristine;Fjellanger;NOR;64;5659;5;1131.8
5184;Carlotta;Scalet;ITA;64;5659;5;1131.8
6208;Lea;Vercellotti;FRA;66;5618;5;1123.6
25177;Valerie;Aebischer;SUI;67;5616;5;1123.2
22189;Anastasiia;Borovkova;RUS;68;5609;5;1121.8
25007;Kateryna;Dzema;UKR;69;5580;5;1116.0
25987;Deborah;Stadler;SUI;70;5574;5;1114.8
18907;Sofie;Bachmann;SUI;71;5549;5;1109.8
22997;Maria;Prieto;ESP;72;5546;5;1109.2
18902;Lisa;Holer;SUI;73;5516;5;1103.2
1107;Inga;Dambe;LAT;74;5508;5;1101.6
2431;Lizzie;Ingham;NZL;75;5483;5;1096.6
5414;Anna;Nilsson Simkovics;AUT;76;5480;5;1096.0
2672;Evely;Kaasiku;EST;77;5465;5;1093.0
6508;Kristina;Yakubkina;BLR;78;5461;5;1092.2
173;Anja;Arbter;AUT;79;5433;5;1086.6
20207;Maelle;Beauvir;FRA;80;5426;5;1085.2
1945;Tekle Emilija;Gvildyte;LTU;81;5391;5;1078.2
2807;Emily;Kemp;CAN;82;5383;5;1076.6
4894;Annika;Rihma;EST;83;5379;5;1075.8
5339;Jo;Shepherd;GBR;84;5364;5;1072.8
6088;Siri;Ulvestad;NOR;85;5340;5;1068.0
23852;Victoria;Haestad Bjornstad;NOR;85;5340;5;1068.0
5593;Agata;Olejnik;POL;87;5333;5;1066.6
20206;Ingeborg;Eide;NOR;88;5319;5;1063.8
5321;Iliana;Ilieva;BUL;89;5318;5;1063.6
25660;Olena;Fedorova;UKR;90;5309;5;1061.8
4161;Miia;Niittynen;FIN;91;5296;5;1059.2
3216;Ausrine;Kutkaite;LTU;92;5291;5;1058.2
4900;Lisa;Risby;SWE;93;5280;5;1056.0
19035;Lisa;Schubnell;SUI;93;5280;5;1056.0
2586;Emma;Johansson;NOR;95;5272;5;1054.4
18703;Anina;Brunner;SUI;96;5258;5;1051.6
2741;Helena;Karlsson;SWE;97;5252;5;1050.4
2199;Tessa;Strain;GBR;98;5242;5;1048.4
682;Lone Karin;Brochmann;NOR;99;5219;5;1043.8
4836;Gabija;Razaityte;LTU;100;5215;5;1043.0
18908;Hanna;Mueller;SUI;101;5204;5;1040.8
4212;Yulia;Novikova;RUS;102;5202;5;1040.4
2357;Niina;Hulkkonen;FIN;103;5198;5;1039.6
25248;Ingrid;Lundanes;NOR;104;5185;5;1037.0
18911;Lauriane;Beauvisage;FRA;105;5177;5;1035.4
22869;Florence;Hanauer;FRA;106;5162;5;1032.4
6080;Kerstin;Uiboupin;EST;107;5161;5;1032.2
18858;Rahela;Brunner;SUI;108;5154;5;1030.8
20201;Tilda;Johansson;SWE;109;5147;5;1029.4
5140;Violeta;Feliciano Sanjuan;ESP;110;5128;5;1025.6
19077;Cecilie;Andersen;GBR;111;5115;5;1023.0
4127;Krystal;Neumann;AUS;112;5110;5;1022.0
3796;Kirstin;Maxwell;GBR;113;5099;5;1019.8
21536;Eirin;Svanoe Hafstad;NOR;114;5077;5;1015.4
18950;Tatiana;Bevza;RUS;115;5067;5;1013.4
1931;Jannina;Gustafsson;FIN;116;5064;5;1012.8
19034;Andrea;Roggo;SUI;117;5058;5;1011.6
5544;Inna;Somova;RUS;118;5056;5;1011.2
19187;Francesca;Taufer;ITA;119;5041;5;1008.2
20205;Sina;Tommer;SUI;120;5016;5;1003.2
4359;Pihla;Otsamo;FIN;121;5014;5;1002.8
6125;Liga;Valdmane;LAT;122;4984;5;996.8
18904;Sandrine;Mueller;SUI;123;4967;5;993.4
3156;Zuzanna;Kubicka;POL;124;4957;5;991.4
2832;Natasha;Key;AUS;125;4950;5;990.0
5176;Ekaterina;Savkina;RUS;126;4932;5;986.4
3830;Lenka;Mechlova;CZE;127;4918;5;983.6
24882;Filipa;Rodrigues;POR;127;4918;5;983.6
2103;Maren;Jansson Haverstad;NOR;129;4913;5;982.6
22989;Marianne;Haug;EST;130;4905;5;981.0
882;Hau Wah Brenda;Chan;HKG;131;4901;5;980.2
4737;Irita;Pukite;LAT;132;4898;5;979.6
2580;Liis;Johanson;EST;133;4886;5;977.2
25174;Elin;Carlsson;SWE;134;4883;5;976.6
4657;Carina;Polzer;AUT;135;4851;5;970.2
610;Matleena;Bostrom;FIN;136;4821;5;964.2
3338;Belinda;Lawford;AUS;137;4819;5;963.8
20062;Paula;Starke;GER;138;4818;5;963.6
33936;Johanna;Borjesson Eriksson;SWE;139;4807;5;961.4
6311;Emma;Waddington;CAN;140;4791;5;958.2
2326;Barbora;Zhanalova;CZE;141;4789;5;957.8
5884;Marketa;Tesarova;CZE;142;4786;5;957.2
24794;Katja;von Schoultz;FIN;143;4779;5;955.8
1081;Weronika;Cych;POL;144;4776;5;955.2
25037;Marthe;Gloersen;NOR;145;4758;5;951.6
20209;Anna;Stickova;CZE;146;4739;5;947.8
2458;Kristina;Ivanova;BUL;147;4704;5;940.8
20921;Emilie;Westli Andersen;NOR;148;4701;5;940.2
19798;Suvi;Ylikylae;FIN;149;4691;5;938.2
1958;Arntraut;Goetsch;GER;150;4669;5;933.8
24927;Cecile;Foltzer;FRA;151;4665;5;933.0
6631;Margret;Zimmermann;EST;152;4647;5;929.4
32367;Fanny;Tilkin;BEL;153;4640;5;928.0
5247;Imogene;Scott;NZL;154;4631;5;926.2
2213;Ragnhild;Hjermstad;NOR;155;4630;5;926.0
19628;Milla;Mattila;FIN;156;4611;5;922.2
5948;Ellinor;Tjernlund;SWE;157;4608;5;921.6
1279;Antoaneta;Dyaksova;BUL;158;4604;5;920.8
4697;Aislinn;Prendergast;AUS;159;4603;5;920.6
28119;Karolina;Sikova;CZE;159;4603;5;920.6
20213;Anika;Gassner;AUT;161;4579;5;915.8
5883;Susanna;Tervo;FIN;162;4578;5;915.6
1767;Liliana;Gotseva;BUL;163;4576;5;915.2
18992;Eleonora;Donadini;ITA;164;4562;5;912.4
31940;Eszter;Mantuano;HUN;165;4561;5;912.2
21759;Tara;Melhuish;AUS;166;4547;5;909.4
27963;Noora;Hyyrynen;FIN;167;4535;5;907.0
4327;Michaela;Omova;CZE;168;4531;5;906.2
22720;Sanna;Ylikyla;FIN;169;4524;5;904.8
21431;Ekaterina;Vlasova;RUS;170;4506;5;901.2
21517;Chloe;Potter;GBR;171;4489;5;897.8
18880;Zsofia;Sarkozy;HUN;172;4477;5;895.4
106;Evine;Westli Andersen;NOR;173;4461;5;892.2
6557;Viola;Zagonel;ITA;173;4461;5;892.2
1897;Michela;Guizzardi;ITA;175;4449;5;889.8
3408;Ka Ki;Leung;HKG;176;4448;5;889.6
4138;Patricia;Nieke;GER;177;4441;5;888.2
28972;Petra;Aschermannova;CZE;178;4433;5;886.6
6604;Jiayi;Zheng;CHN;179;4429;5;885.8
5337;Anna;Sheldon;AUS;180;4406;5;881.2
20211;Chloe;Haberkorn;FRA;181;4400;5;880.0
27629;Triin;Jaadmaa;EST;182;4398;5;879.6
18989;Anna;Caglio;ITA;183;4394;5;878.8
4779;Galina;Ribediuc;MDA;184;4381;5;876.2
116;Bridget;Anderson;AUS;185;4380;5;876.0
4347;Hollie;Orr;GBR;186;4347;4;1086.8
21726;Karen Oline;Kolstad;NOR;187;4333;5;866.6
19193;Elizabete;Blumentale;LAT;188;4331;5;866.2
2881;Christine;Kirchlechner;ITA;189;4322;5;864.4
3280;Cho Yu;Lam;HKG;190;4291;5;858.2
5609;Lanita;Steer;AUS;191;4288;5;857.6
5312;Emine;Sezgunsay;TUR;192;4278;5;855.6
