IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
65;Tove;Alexandersson;SWE;1;7075;5;1415.0
6259;Natalia;Gemperle;RUS;2;6939;5;1387.8
2100;Sabine;Hauswirth;SUI;3;6876;5;1375.2
5868;Marika;Teini;FIN;4;6830;5;1366.0
2511;Helena;Bergman;SWE;5;6824;5;1364.8
4277;Karolin;Ohlsson;SWE;6;6737;5;1347.4
113;Marianne;Andersen;NOR;7;6720;5;1344.0
5654;Lina;Strand;SWE;8;6645;5;1329.0
4961;Elena;Roos;SUI;9;6628;5;1325.6
4880;Tatyana;Riabkina;RUS;10;6596;5;1319.2
1997;Sara;Hagstrom;SWE;11;6591;5;1318.2
1867;Julia;Jakob;SUI;12;6584;5;1316.8
166;Sari;Anttonen;FIN;13;6577;5;1315.4
5930;Anastasia;Rudnaya;RUS;14;6575;5;1315.0
4290;Kamilla;Olaussen;NOR;15;6535;5;1307.0
3932;Svetlana;Mironova;RUS;16;6517;5;1303.4
4900;Lisa;Risby;SWE;17;6514;5;1302.8
2807;Emily;Kemp;CAN;18;6498;5;1299.6
396;Andrine;Benjaminsen;NOR;19;6497;5;1299.4
2486;Silje Ekroll;Jahren;NOR;20;6495;5;1299.0
77;Maja;Alm;DEN;21;6486;5;1297.2
4150;Venla;Harju;FIN;22;6470;5;1294.0
19096;Vendula;Horcickova;CZE;23;6443;5;1288.6
5861;Catherine;Taylor;GBR;24;6387;5;1277.4
1107;Inga;Dambe;LAT;25;6374;5;1274.8
499;Ida Marie;Naess Bjoergul;NOR;26;6373;5;1274.6
2585;Emma;Johansson;SWE;26;6373;5;1274.6
332;Isia;Basset;FRA;28;6345;5;1269.0
2678;Ursula;Kadan;AUT;29;6342;5;1268.4
1963;Sofia;Haajanen;FIN;30;6324;5;1264.8
5370;Maija;Sianoja;FIN;31;6315;5;1263.0
3602;Susen;Loesch;GER;32;6302;5;1260.4
2942;Jana;Knapova;CZE;33;6295;5;1259.0
4312;Alva;Olsson;SWE;34;6287;5;1257.4
2549;Sarina;Jenzer;SUI;35;6274;5;1254.8
18903;Martina;Ruch;SUI;36;6267;5;1253.4
4212;Yulia;Novikova;RUS;37;6234;5;1246.8
3061;Denisa;Kosova;CZE;38;6215;5;1243.0
4043;Ingjerd;Myhre;NOR;39;6209;5;1241.8
4811;Merja;Rantanen;FIN;40;6188;5;1237.6
2876;Saila;Kinni;FIN;41;6179;5;1235.8
3050;Natalia;Efimova;RUS;42;6172;5;1234.4
4161;Miia;Niittynen;FIN;42;6172;5;1234.4
18906;Paula;Gross;SUI;44;6152;5;1230.4
23032;Simona;Aebersold;SUI;45;6141;5;1228.2
2430;Adela;Indrakova;CZE;46;6134;5;1226.8
19685;Aleksandra;Hornik;POL;47;6130;5;1226.0
19926;Anna;Haataja;FIN;48;6126;5;1225.2
1592;Lilian;Forsgren;SWE;49;6099;5;1219.8
4347;Hollie;Orr;GBR;50;6089;5;1217.8
